"","Drug_Overdose_Deaths","Alcohol_Impaired_Driving_Deaths","Unemployment_Rate","Income_Inequality","Highschool_Comp_Rate","Adult_Smoking_Rate","Excessive_Drinking_Rate","Median_House_Income","College_Education_Rate","Children_In_Poverty","Single_Parent_House","Social_Associations","Pop_Under_18","Pop_Over_65","NH_Black","American_Or_Alaska_Native","Hispanic_Pop","Female_Pop","Rural_Pop"
"802",39.122239215,0.1666666667,0.0265915167,4.0551181102,0.8749872436,0.223,0.1594421443,65342,0.5499336185,0.182,0.234629862,7.8286242972,0.2233205782,0.1867205215,0.0068735828,0.0032596372,0.0152352608,0.4974489796,0.7652047406
"803",77.226703278,0.1764705882,0.0311315375,4.3579441691,0.8804381228,0.222,0.1630602066,51622,0.5628425998,0.238,0.2823235055,12.79041772,0.2244352904,0.196173404,0.047741916,0.0040438791,0.0344333288,0.5121693601,0.3769927727
"804",23.630885567,0.0476190476,0.0230613809,3.586023628,0.9329894194,0.19,0.1679647166,68879,0.5558566697,0.121,0.1244933411,16.313792247,0.2455973178,0.1884242103,0.0094229751,0.0031056997,0.0366331392,0.5010411152,0.6328601845
"805",27.428069887,0.0344827586,0.0249646024,3.7416133922,0.90336629,0.192,0.161516405,66167,0.6064173154,0.129,0.167984537,10.547239463,0.2298967396,0.2156679405,0.0062606716,0.0068298236,0.0972030246,0.4965037808,0.6139014906
"806",14.595415094,0.08,0.0241651284,3.3751083893,0.9183596215,0.187,0.1689691569,72448,0.6096631424,0.108,0.2222362762,13.069997096,0.2273370491,0.1942703671,0.0060357524,0.0040430878,0.0259623993,0.4955670431,0.6908543184
"807",13.236316078,0.2629695886,0.0273584999,4.1832460733,0.9302529746,0.155,0.2311843967,69708,0.7005890371,0.123,0.2034767157,14.459397967,0.2263662402,0.1831047921,0.0420007143,0.0059315417,0.0693028658,0.4979757958,0.3684645883
"808",NA,0.15,0.0209436133,4.0916580132,0.9570482498,0.185,0.190075661,66997,0.6150627615,0.114,0.161622276,11.934756664,0.2244462236,0.2288497465,0.0081398452,0.0042700827,0.0302908994,0.4978649586,1
"809",NA,0.2,0.0197090568,3.9065852451,0.9402420575,0.177,0.1811940729,58973,0.7093023256,0.151,0.2290862291,13.732491074,0.2187759623,0.2428690114,0.0077540847,0.0058155636,0.0224314594,0.4948767654,1
"810",NA,0.2,0.0377384961,3.5855679671,0.9169493268,0.182,0.1876177531,60743,0.6207246868,0.15,0.1012353118,14.361625736,0.2391117479,0.2361031519,0.0161891117,0.0073782235,0.0777936963,0.4861747851,1
"811",NA,0.25,0.0286561265,4.5486514329,0.9194954128,0.211,0.1743326783,53589,0.5424912689,0.203,0.1574832465,10.606184221,0.2170497767,0.2422688937,0.0071936497,0.0046303952,0.0255498594,0.5004961138,0.5722172607
"812",NA,0.2857142857,0.0226904376,3.8750663787,0.905278737,0.175,0.1820794213,60504,0.7386569873,0.15,0.2919005613,17.746228926,0.2157913541,0.251161129,0.0076813148,0.0048231511,0.0292961772,0.5066095034,1
"813",NA,0.1111111111,0.0299537423,3.8060534657,0.9442547714,0.17,0.2025250299,82762,0.7096551724,0.09,0.1263354248,12.844965163,0.2269845591,0.1957916845,0.0074676209,0.003850492,0.018980203,0.4951188207,0.8130987292
