"","Drug_Overdose_Deaths","Alcohol_Impaired_Driving_Deaths","Unemployment_Rate","Income_Inequality","Highschool_Comp_Rate","Adult_Smoking_Rate","Excessive_Drinking_Rate","Median_House_Income","College_Education_Rate","Children_In_Poverty","Single_Parent_House","Social_Associations","Pop_Under_18","Pop_Over_65","NH_Black","American_Or_Alaska_Native","Hispanic_Pop","Female_Pop","Rural_Pop"
"786",65.263274828,0.1666666667,0.0336887798,4.3923059718,0.8191395445,0.245,0.1696823019,57837,0.4475500926,0.201,0.2340543539,9.4436460686,0.2257198633,0.1713844152,0.0063852286,0.0038230031,0.0265983407,0.5076866764,0.6892224409
"787",33.422708131,0.1363636364,0.024789916,4.1640262552,0.8912773874,0.193,0.1638626341,66045,0.5741998927,0.187,0.1457425743,11.545549413,0.2215998755,0.1871929942,0.0149807739,0.0036896268,0.0528550154,0.4972327799,0.5259127733
"788",NA,0.1034482759,0.0263182808,4.1989100817,0.9253320147,0.186,0.1691613578,70440,0.651642984,0.102,0.1602401293,14.647944237,0.2154054189,0.2088445936,0.0076125607,0.0037561977,0.0346571844,0.4915610758,1
"789",51.861242365,0.1428571429,0.0377338769,3.9671891953,0.8510007413,0.228,0.1713883089,58523,0.5316409124,0.183,0.1406044678,8.9851103885,0.223106028,0.2037578468,0.006234414,0.0052455069,0.0471235704,0.4946685012,1
"790",9.6101175317,0.1388888889,0.0215131389,3.6848785383,0.9274519717,0.187,0.1779365117,73250,0.5789326236,0.126,0.1066374909,15.015015015,0.1935493161,0.2223758099,0.0086969042,0.0039164867,0.0431965443,0.4864506839,0.6315957601
"791",NA,0.1904761905,0.0376652532,4.0621543222,0.8885252471,0.234,0.1623043153,55497,0.5075241849,0.172,0.3050108932,11.080065517,0.1840348331,0.19109821,0.0500241896,0.0037252056,0.0190614417,0.4507014998,0.7658644377
"792",31.984647369,0.2,0.0279529214,3.6866845214,0.8313342218,0.244,0.1559769461,63246,0.4046692607,0.219,0.2356874216,5.1072522983,0.233359984,0.1896861883,0.011093344,0.0049970018,0.0223865681,0.4754147511,1
"793",20.900879737,0.1666666667,0.0282882975,4.94919578,0.9202198968,0.165,0.1882389965,56088,0.7175422281,0.149,0.2140180209,9.7821206355,0.199775325,0.1246522571,0.0614571024,0.0040483899,0.0930175872,0.4862466021,0.1565145959
"794",NA,0.1363636364,0.028298746,3.459292591,0.9075423574,0.184,0.1654495247,65025,0.5884244373,0.123,0.1129996852,15.612802498,0.2057808736,0.2210793568,0.008202591,0.0032549964,0.0337217629,0.4933923573,0.6154046487
"795",NA,0,0.0244444444,3.5420370101,0.8878523224,0.195,0.1641364217,61171,0.6536491677,0.167,0.1775636614,5.6761742585,0.2131760644,0.207853855,0.0113636364,0.0035960875,0.0235903337,0.5050345224,1
"796",31.62433235,0.1176470588,0.0302460109,4.1429214326,0.9121795598,0.196,0.1725196921,57997,0.6666666667,0.193,0.3092501227,14.778845139,0.2142380274,0.1834998665,0.100893493,0.0031489229,0.033080381,0.5101143849,0.07956766
"797",23.826026685,0,0.0361901878,3.9474352924,0.9250458716,0.217,0.1615249251,58280,0.5909845133,0.183,0.2737597131,11.081415814,0.2160377969,0.2054235972,0.0058895864,0.0039479645,0.018704291,0.4975729726,0.5865664875
"798",21.586785133,0.1587301587,0.0354926889,4.842045143,0.904651877,0.218,0.1626318781,52286,0.6068329927,0.205,0.2770003254,14.434779327,0.2027809747,0.1737260155,0.0679112503,0.004207309,0.0298285003,0.4946984133,0.2476708148
"799",26.999006437,0.2,0.027280186,3.9932484977,0.9144812913,0.209,0.161106062,64025,0.5518345952,0.148,0.2453689168,16.874350987,0.2085766187,0.220805761,0.0082717011,0.00746075,0.0296808097,0.510509926,0.5014850207
"800",NA,0.2307692308,0.0256720756,3.8664220722,0.9259014224,0.188,0.1642484805,73539,0.6718106996,0.133,0.1858071506,10.619469027,0.2185320884,0.2086041839,0.0046093842,0.0040184375,0.0249379506,0.4956860891,1
"801",22.014770863,0.1935483871,0.0257731959,3.7696344107,0.9492306649,0.154,0.1744683475,84567,0.763889781,0.079,0.1617578308,10.230337601,0.2285648539,0.1863465521,0.020096648,0.0030528496,0.0231188157,0.5049474572,0.2674105606
